Ancyrochitina sp,Late Llandoverian,Ludlovian,Florida,"  Goldstein,R.F. et al.         Silurian chitinozoans from Florida Well samples.",1969,"Goldstein,R.F.;Cramer,F.H.;Andress,N.E.
","Goldstein,R.F. et al.                   (1969)
                  Silurian chitinozoans from Florida Well samples.                   Transactions of the Gulf Coast Association of Geological Societies  
                   Vol. 19                                     P.   377-  384"
Ancyrochitina sp,Ordovician,,Czechoslovakia,"  Corna,O.         The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.",1969,"Corna,O.
","Corna,O.                   (1969)
                  The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.  [ Bemerkungen zur Verbreitung palynologischer mikrofossilien vom Praekambrium Bis zum Unterkarbon. ]                   Geologicky Zbornik(Geoligica Carpathica)  
                   Vol. 20                    # 2                  P.   399-  416"
Ancyrochitina sp,Ordovician,,Czechoslovakia,"  Corna,O.         The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.",1969,"Corna,O.
","Corna,O.                   (1969)
                  The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.  [ Bemerkungen zur Verbreitung palynologischer mikrofossilien vom Praekambrium Bis zum Unterkarbon. ]                   Geologicky Zbornik(Geoligica Carpathica)  
                   Vol. 20                    # 2                  P.   399-  416"
Ancyrochitina sp,Ordovician,,Czechoslovakia,"  Corna,O.         The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.",1969,"Corna,O.
","Corna,O.                   (1969)
                  The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.  [ Bemerkungen zur Verbreitung palynologischer mikrofossilien vom Praekambrium Bis zum Unterkarbon. ]                   Geologicky Zbornik(Geoligica Carpathica)  
                   Vol. 20                    # 2                  P.   399-  416"
Ancyrochitina sp,Ordovician,,Czechoslovakia,"  Corna,O.         The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.",1969,"Corna,O.
","Corna,O.                   (1969)
                  The distribution of palynological microfossils from the Precambrian to the Lower Carboniferous.  [ Bemerkungen zur Verbreitung palynologischer mikrofossilien vom Praekambrium Bis zum Unterkarbon. ]                   Geologicky Zbornik(Geoligica Carpathica)  
                   Vol. 20                    # 2                  P.   399-  416"
Ancyrochitina sp,Late Llandoverian,,Canada(Nova Scotia),"  Cramer,F.H.         Arcitarchs and chitinozoans from the Silurian Ross Brook Formation, Nova Scotia",1970,"Cramer,F.H.
","Cramer,F.H.                   (1970)
                  Arcitarchs and chitinozoans from the Silurian Ross Brook Formation, Nova Scotia                   Journal of Geology  
                   Vol. 78                    # 6                  P.   745-  749"
Ancyrochitina sp,Wenlockian,,USSR(Lithuanian SSR),"  Ditsevichyus,E.K.         Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance",1970,"Ditsevichyus,E.K.
","Ditsevichyus,E.K.                   (1970)
                  Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance                   Doklady Akademii Nauk SSSR  
                   Vol. 193                    # 1                  P.    67-   70"
Ancyrochitina sp,Llandeilian,,USSR(Belorussian SSR),"  Ditsevichyus,E.K.         Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance",1970,"Ditsevichyus,E.K.
","Ditsevichyus,E.K.                   (1970)
                  Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance                   Doklady Akademii Nauk SSSR  
                   Vol. 193                    # 1                  P.    67-   70"
Ancyrochitina sp,Llandoverian,,USSR(Belorussian SSR),"  Ditsevichyus,E.K.         Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance",1970,"Ditsevichyus,E.K.
","Ditsevichyus,E.K.                   (1970)
                  Ordovician and Silurian chitinozoan fauna of Lithuania and its stratigraphic significance                   Doklady Akademii Nauk SSSR  
                   Vol. 193                    # 1                  P.    67-   70"
Ancyrochitina sp,Caradocian,,Belgium,"  Martin,F. et al.         The Caradocian Flysch of Ombret.",1970,"Martin,F.;Michot,P.;Vanguestaine,M.
","Martin,F. et al.                   (1970)
                  The Caradocian Flysch of Ombret.  [ Le Flysch Caradocien d'o mbret. ]                   Annales de la Soci©t© G©ologique de Belgique  
                   Vol. 93                                     P.   337-  362"
Ancyrochitina sp,Caradocian,,Belgium,"  Martin,F. et al.         The Caradocian Flysch of Ombret.",1970,"Martin,F.;Michot,P.;Vanguestaine,M.
","Martin,F. et al.                   (1970)
                  The Caradocian Flysch of Ombret.  [ Le Flysch Caradocien d'o mbret. ]                   Annales de la Soci©t© G©ologique de Belgique  
                   Vol. 93                                     P.   337-  362"
Ancyrochitina sp,Llanvirnian,,Czechoslovakia,"  Corna,O.         Plant remains in the Ordovician of the Bohemian Massif.",1970,"Corna,O.
","Corna,O.                   (1970)
                  Plant remains in the Ordovician of the Bohemian Massif.                   Geologicky Zbornik(Geoligica Carpathica)  
                   Vol. 21                    # 1                  P.   183-  186"
